model,experiment,region_name,horizon,n,MAE,RMSE,MASE,sMAPE,modell
timesfm_univ,A_univariat,Hallands län,6,42.0,68.73402186802456,88.15418909669671,0.5527200886211597,27.98365556485831,TimesFM A (univariat)
timesfm_univ,A_univariat,Hela landet,1,47.0,2383.385534408245,3119.1823394866465,0.6451423680194087,12.013361793758472,TimesFM A (univariat)
timesfm_univ,A_univariat,Hela landet,3,45.0,3456.5965711805557,4027.0705496009073,0.9356425408417457,17.22371280616851,TimesFM A (univariat)
timesfm_univ,A_univariat,Hela landet,6,42.0,3494.674362909226,4046.72496501022,0.9459495584728163,17.320662158831592,TimesFM A (univariat)
timesfm_univ,A_univariat,Jämtlands län,1,47.0,429.3963674991689,571.6805097454363,0.7092890330491899,19.254690348839638,TimesFM A (univariat)
timesfm_univ,A_univariat,Jämtlands län,3,45.0,520.6824462890625,665.7200566532853,0.8600779531624023,23.48152457501176,TimesFM A (univariat)
timesfm_univ,A_univariat,Jämtlands län,6,42.0,543.0548822312128,672.6279663115902,0.8970333739750701,24.243188185613107,TimesFM A (univariat)
timesfm_univ,A_univariat,Jönköpings län,1,47.0,141.13934326171875,200.90035015274918,0.5655542822902341,23.176433886773168,TimesFM A (univariat)
timesfm_univ,A_univariat,Jönköpings län,3,45.0,166.50443522135416,230.96980836469453,0.6671938113325112,26.544104446872517,TimesFM A (univariat)
timesfm_univ,A_univariat,Jönköpings län,6,42.0,189.283206031436,259.099555926671,0.7584697878195277,30.722450018482228,TimesFM A (univariat)
timesfm_univ,A_univariat,Kalmar län,1,47.0,119.50952343230551,150.6345786643503,0.4224216320696157,17.795332544832508,TimesFM A (univariat)
timesfm_univ,A_univariat,Kalmar län,3,45.0,152.44140896267362,183.74499787111318,0.538823575892508,22.295546655656036,TimesFM A (univariat)
timesfm_univ,A_univariat,Kalmar län,6,42.0,178.44130670456659,206.97597304563934,0.6307235259746842,26.012644858331267,TimesFM A (univariat)
timesfm_univ,A_univariat,Kronobergs län,1,47.0,98.27324660280918,132.86079586625112,0.48089255615540694,20.16450863340008,TimesFM A (univariat)
timesfm_univ,A_univariat,Kronobergs län,3,45.0,113.539697265625,150.29895477219347,0.5555977555504582,23.532744568418032,TimesFM A (univariat)
timesfm_univ,A_univariat,Kronobergs län,6,42.0,124.34366861979167,158.77399419617515,0.6084661564707396,25.633471948157144,TimesFM A (univariat)
timesfm_univ,A_univariat,Norra Norrland,1,47.0,747.3156634391622,1096.1142152868447,0.6586311633483127,16.976139992805827,TimesFM A (univariat)
timesfm_univ,A_univariat,Norra Norrland,3,45.0,803.6984266493056,1177.4608858950958,0.7083229425290021,18.870109801612223,TimesFM A (univariat)
timesfm_univ,A_univariat,Norra Norrland,6,42.0,802.6138799758185,1092.408185764552,0.7073670998078994,18.755984477156154,TimesFM A (univariat)
timesfm_univ,A_univariat,Norrbottens län,1,47.0,284.1496633976064,342.56978791824434,0.48508878600106414,17.032868187337208,TimesFM A (univariat)
timesfm_univ,A_univariat,Norrbottens län,3,45.0,300.403515625,351.9888514015123,0.51283670359685,18.372946386002877,TimesFM A (univariat)
timesfm_univ,A_univariat,Norrbottens län,6,42.0,312.9517095656622,373.4690445754023,0.5342584715919234,18.86732918050469,TimesFM A (univariat)
timesfm_univ,A_univariat,Skåne län,1,47.0,105.96416002638797,141.50769286229118,0.5232287096097381,23.946053692896044,TimesFM A (univariat)
timesfm_univ,A_univariat,Skåne län,3,45.0,114.61064181857638,148.86559329896568,0.565923216032138,25.659627537982853,TimesFM A (univariat)
timesfm_univ,A_univariat,Skåne län,6,42.0,121.01364644368489,153.8358012947981,0.5975399046067128,27.463169556216666,TimesFM A (univariat)
timesfm_univ,A_univariat,Stockholms län,1,47.0,83.16336968604554,99.57887097927284,0.8555603856105819,30.5821532123582,TimesFM A (univariat)
timesfm_univ,A_univariat,Stockholms län,3,45.0,88.50408969455295,107.02745896537631,0.9105041485577374,32.01634316433983,TimesFM A (univariat)
timesfm_univ,A_univariat,Stockholms län,6,42.0,93.87304106212798,110.35822434929008,0.9657383474569401,34.37367178794767,TimesFM A (univariat)
timesfm_univ,A_univariat,Svealand,1,47.0,718.037950880984,971.75912839575,0.6917401025746299,14.100399076799244,TimesFM A (univariat)
timesfm_univ,A_univariat,Svealand,3,45.0,996.1354112413194,1229.2438545227653,0.9596523564037988,19.71238866338453,TimesFM A (univariat)
timesfm_univ,A_univariat,Svealand,6,42.0,1030.3278285435267,1259.794781493588,0.9925924903102081,19.789935466850693,TimesFM A (univariat)
timesfm_univ,A_univariat,Södermanlands län,1,47.0,94.71815588119182,127.03964648716097,0.6002546935542769,22.34128887426167,TimesFM A (univariat)
